blo,inscription,image
11377,61,8952
11382,61,8957
11387,61,8962
11392,61,8967
11397,61,8972
11402,61,8977
11407,61,8982
11417,62,8992
11427,62,9002
11432,62,9007
11437,62,9012
11442,62,9017
11447,62,9022
11452,62,9027
11457,62,9032
11467,63,9042
11477,63,9052
11482,63,9057
11487,63,9062
11492,63,9067
11497,63,9072
11502,63,9077
11512,64,9087
11517,64,9092
11522,64,9097
11527,64,9102
11532,64,9107
11537,64,9112
11542,64,9117
11547,64,9122
11552,64,9127
11557,64,9132
11567,65,9142
11572,65,9147
11577,65,9152
11582,65,9157
11587,65,9162
11592,65,9167
11597,65,9172
11602,65,9177
11607,65,9182
11612,65,9187
11622,66,9197
11627,66,9202
11632,66,9207
11637,66,9212
11642,66,9217
11652,66,9227
11657,66,9232
11662,66,9237
11667,67,9242
11672,67,9247
11677,67,9252
11682,67,9257
11687,67,9262
11691,68,8136
11701,68,8141
11706,68,9271
11711,68,9276
11716,68,9281
11721,68,9286
11726,68,9291
11731,68,9296
11736,68,9301
11741,68,9306
11752,69,9317
11757,69,9322
11762,69,9327
11767,69,9332
11772,69,9337
11777,69,9342
11782,69,9347
11802,70,6502
11812,70,6507
11807,70,6512
11792,70,9357
11797,70,9362
11817,70,9367
11822,70,9372
11828,71,8568
11833,71,8573
11838,71,8578
11848,72,8558
11853,72,8563
11888,73,8588
11863,73,9388
11873,73,9398
11883,73,9408
11898,73,9413
11903,73,9418
11908,73,9423
11913,73,9428
11918,73,9433
11932,74,9447
11937,74,9452
11942,74,9457
11947,74,9462
11952,74,9467
11957,74,9472
11962,74,9477
11967,74,9482
11972,74,9487
11977,74,9492
11982,74,9497
11987,74,9502
11992,74,9507
11997,74,9512
12002,74,9517
12007,74,9522
12012,74,9527
12017,74,9532
12022,74,9537
12027,74,9542
12032,74,9547
12038,75,6593
12043,75,6598
12048,75,6603
12053,75,6608
12058,75,6613
12063,75,6618
12068,75,6623
12073,75,9553
12087,76,7307
12092,76,7312
12097,76,7317
12102,76,7322
12107,76,7327
12112,76,7332
12117,76,7337
12147,77,6042
12142,77,6047
12127,77,6517
12132,77,9572
12137,77,9577
12157,78,8027
12162,78,8032
12167,78,9587
12172,78,9592
12177,78,9597
12182,78,9602
12187,78,9607
12192,78,9612
12197,78,9617
12237,79,5862
12232,79,5867
12227,79,5872
12242,79,5877
12247,79,6137
12252,79,6142
12257,79,6147
12207,79,9627
12212,79,9632
12217,79,9637
12222,79,9642
12267,80,6157
12272,80,6162
12277,80,6167
12282,80,6172
12287,81,9652
12292,81,9657
12302,82,9667
12307,82,9672
12312,82,9677
12317,82,9682
12337,83,6222
12342,83,6227
12332,83,9697
12350,84,9705
12355,84,9710
12360,84,9715
12365,84,9720
12375,85,9725
12390,86,7380
12395,86,7385
12400,86,7390
12405,86,7395
12410,86,7400
12420,86,7405
12425,86,7410
12415,86,8795
12430,87,6205
12435,87,6210
12440,87,6215
12445,87,6220
12480,88,6235
12450,88,6240
12455,88,6245
12460,88,6250
12465,88,6255
12470,88,6260
12475,88,6265
12485,88,6270
12490,88,6275
12495,88,6280
12500,88,6285
12595,93,9655
12600,93,9785
12606,94,9791
12616,94,9801
12621,94,9806
12626,94,9811
12631,94,9816
13198,110,6628
13203,110,6633
13208,110,6638
13218,110,6643
13223,110,6648
13228,110,6653
13233,110,6658
13258,110,6663
13238,110,6668
13248,110,6673
13243,110,6678
13263,110,8048
13268,110,8053
13273,110,8058
13278,110,8063
13283,110,8068
13288,110,8073
13293,110,8078
13298,110,8083
13303,110,8088
13308,110,8093
13213,110,10008
13253,110,10013
13313,111,8098
13318,111,8103
13323,111,8108
13329,112,7144
13334,112,7149
13339,112,7154
13354,113,7029
13359,113,7034
13369,113,7044
13384,113,7124
13379,113,7129
13374,113,7134
13389,113,7139
13399,114,6949
13404,114,6954
13409,114,6959
13414,114,6964
13419,114,6969
13424,114,6974
13429,114,6979
13434,114,6984
13439,114,6989
13444,114,6994
13449,114,6999
13454,114,7004
13459,114,7009
13464,114,7014
13469,114,7019
13474,114,7024
13394,114,10034
13529,116,5889
13534,116,5894
13504,116,6839
13509,116,6844
13514,116,6884
13524,116,6889
13539,116,6894
13519,116,10044
13544,117,5884
13559,117,5899
13564,117,5904
13549,117,6899
13554,117,6904
13579,118,5909
13584,118,5914
13589,118,5919
13594,118,5924
13599,118,5929
13604,118,5934
13609,118,5939
13614,118,5944
13619,118,5949
13624,118,5954
13634,118,5959
13629,118,5964
13639,118,10059
13644,118,10064
13649,118,10069
13654,118,10074
13659,118,10079
13664,118,10084
13669,118,10089
13674,118,10094
13699,119,6819
13704,119,6824
13709,119,6829
13714,119,6834
13724,120,6789
13729,120,6794
13734,120,6799
13739,120,6804
13749,120,6809
13754,120,6814
13764,121,6749
13759,121,6754
13769,121,6759
13774,121,6764
13779,121,6769
13784,121,6774
13789,121,6779
13794,121,6784
13804,122,10134
13809,122,10139
13814,122,10144
13819,122,10149
13829,123,10159
13834,123,10164
13839,123,10169
13844,123,10174
13849,123,10179
13859,124,7159
13864,124,7164
13869,124,7169
13874,124,7244
13879,124,7249
13884,124,7254
13889,124,7259
14307,137,6682
14312,137,6687
14282,137,9277
14287,137,9287
14292,137,9292
14297,137,9297
14302,137,9922
